Ticker;Nom;Secteur;Pays;Prix Actuel;Devise;Capitalisation (M);Année;Chiffre d'Affaires (M);Résultat Net (M);Marge Nette (%);ROE (%);Dette/Equity;PER (Trailing);Croissance CA 3ans (%);Croissance Bénéfice 3ans (%);Tendance
BMW.DE;Bayerische Motoren Werke Aktiengesellschaft;Consumer Cyclical;Germany;94.56;EUR;57640.6;2024;142380.0;7290.0;5.12;7.9;0.93;8.309315;-0.16;-59.37;Stable
BMW.DE;Bayerische Motoren Werke Aktiengesellschaft;Consumer Cyclical;Germany;94.56;EUR;57640.6;2023;155498.0;11290.0;7.26;12.6;0.8;8.309315;-0.16;-59.37;Stable
BMW.DE;Bayerische Motoren Werke Aktiengesellschaft;Consumer Cyclical;Germany;94.56;EUR;57640.6;2022;142610.0;17941.0;12.58;20.59;0.82;8.309315;-0.16;-59.37;Stable
BMW.DE;Bayerische Motoren Werke Aktiengesellschaft;Consumer Cyclical;Germany;94.56;EUR;57640.6;2021;111239.0;12382.0;11.13;16.65;1.13;8.309315;-0.16;-59.37;Stable
BN.PA;Danone S.A.;Consumer Defensive;France;76.32;EUR;49148.9;2024;27376.0;2021.0;7.38;11.36;0.8;26.778948;-1.03;110.74;Stable
BN.PA;Danone S.A.;Consumer Defensive;France;76.32;EUR;49148.9;2023;27619.0;881.0;3.19;5.45;0.96;26.778948;-1.03;110.74;Stable
BN.PA;Danone S.A.;Consumer Defensive;France;76.32;EUR;49148.9;2022;27661.0;959.0;3.47;5.35;0.79;26.778948;-1.03;110.74;Stable
BN.PA;Danone S.A.;Consumer Defensive;France;76.32;EUR;49148.9;2021;24281.0;1924.0;7.92;11.14;0.94;26.778948;-1.03;110.74;Stable
CDR.WA;CD Projekt S.A.;Communication Services;Poland;241.3;PLN;24108.4;2024;985.0;469.9;47.7;16.78;;42.63251;3.41;35.37;Stable
CDR.WA;CD Projekt S.A.;Communication Services;Poland;241.3;PLN;24108.4;2023;1230.2;481.1;39.11;20.02;;42.63251;3.41;35.37;Stable
CDR.WA;CD Projekt S.A.;Communication Services;Poland;241.3;PLN;24108.4;2022;952.6;347.1;36.44;17.09;0.01;42.63251;3.41;35.37;Stable
CDR.WA;CD Projekt S.A.;Communication Services;Poland;241.3;PLN;24108.4;2021;888.2;208.9;23.52;11.03;0.02;42.63251;3.41;35.37;Stable
DTE.DE;Deutsche Telekom AG;Communication Services;Germany;27.86;EUR;138704.2;2024;115111.0;11209.0;9.74;17.71;2.32;11.279352;1.32;40.09;Stable
DTE.DE;Deutsche Telekom AG;Communication Services;Germany;27.86;EUR;138704.2;2023;111308.0;17788.0;15.98;31.25;2.45;11.279352;1.32;40.09;Stable
DTE.DE;Deutsche Telekom AG;Communication Services;Germany;27.86;EUR;138704.2;2022;113608.0;8001.0;7.04;16.48;2.98;11.279352;1.32;40.09;Stable
DTE.DE;Deutsche Telekom AG;Communication Services;Germany;27.86;EUR;138704.2;2021;107334.0;4176.0;3.89;9.78;3.26;11.279352;1.32;40.09;Stable
KGH.WA;KGHM Polska Miedz S.A.;Basic Materials;Poland;282.5;PLN;56500.0;2024;35320.0;2868.0;8.12;9.25;0.2;22.018705;4.35;-39.9;Stable
KGH.WA;KGHM Polska Miedz S.A.;Basic Materials;Poland;282.5;PLN;56500.0;2023;33467.0;-3698.0;-11.05;-12.95;0.2;22.018705;4.35;-39.9;Stable
