Ticker;Nom;Secteur;Pays;Prix Actuel;Devise;Capitalisation (M);Année;Chiffre d'Affaires (M);Résultat Net (M);Marge Nette (%);ROE (%);Dette/Equity;PER (Trailing);Croissance CA 3ans (%);Croissance Bénéfice 3ans (%);Tendance
ABVX.PA;ABIVAX Société Anonyme;Healthcare;France;117.0;EUR;9117.9;2024;0.0;-176.2;0.0;-434.26;2.4;N/A;0.0;-190.16;Stable
ABVX.PA;ABIVAX Société Anonyme;Healthcare;France;117.0;EUR;9117.9;2023;0.0;-147.7;0.0;-75.37;0.3;N/A;0.0;-190.16;Stable
ABVX.PA;ABIVAX Société Anonyme;Healthcare;France;117.0;EUR;9117.9;2022;0.0;-60.7;0.0;-844.9;5.45;N/A;0.0;-190.16;Stable
ABVX.PA;ABIVAX Société Anonyme;Healthcare;France;117.0;EUR;9117.9;2021;0.0;-42.5;0.0;-163.7;1.73;N/A;0.0;-190.16;Stable
BIG.PA;BigBen Interactive;Technology;France;0.936;EUR;17.3;2025;288.0;0.2;0.08;0.11;0.99;93.6;1.59;-97.28;Stable
BIG.PA;BigBen Interactive;Technology;France;0.936;EUR;17.3;2024;292.0;14.0;4.8;6.28;0.96;93.6;1.59;-97.28;Stable
BIG.PA;BigBen Interactive;Technology;France;0.936;EUR;17.3;2023;283.5;8.6;3.05;3.95;1.2;93.6;1.59;-97.28;Stable
BIG.PA;BigBen Interactive;Technology;France;0.936;EUR;17.3;2022;275.7;7.9;2.86;3.38;0.89;93.6;1.59;-97.28;Stable
BIG.PA;BigBen Interactive;Technology;France;0.936;EUR;17.3;2021;;;;;;93.6;1.59;-97.28;Stable
INF.PA;Infotel SA;Technology;France;42.3;EUR;290.5;2024;294.8;18.5;6.27;14.93;0.25;19.227272;-1.86;-9.09;Stable
INF.PA;Infotel SA;Technology;France;42.3;EUR;290.5;2023;307.5;18.1;5.88;15.35;0.27;19.227272;-1.86;-9.09;Stable
INF.PA;Infotel SA;Technology;France;42.3;EUR;290.5;2022;300.4;20.3;6.77;17.89;0.3;19.227272;-1.86;-9.09;Stable
INF.PA;Infotel SA;Technology;France;42.3;EUR;290.5;2021;263.4;13.7;5.2;13.28;0.3;19.227272;-1.86;-9.09;Stable
ABCA.PA;ABC arbitrage SA;Financial Services;France;5.41;EUR;321.6;2024;51.4;26.8;52.21;16.36;0.02;9.016666;-16.22;-7.91;⚠️ Déclin
ABCA.PA;ABC arbitrage SA;Financial Services;France;5.41;EUR;321.6;2023;39.7;16.5;41.46;10.6;0.03;9.016666;-16.22;-7.91;⚠️ Déclin
ABCA.PA;ABC arbitrage SA;Financial Services;France;5.41;EUR;321.6;2022;61.4;29.2;47.5;18.03;0.04;9.016666;-16.22;-7.91;⚠️ Déclin
ABCA.PA;ABC arbitrage SA;Financial Services;France;5.41;EUR;321.6;2021;64.3;28.0;43.59;17.52;0.03;9.016666;-16.22;-7.91;⚠️ Déclin
ALTHE.PA;Theraclion SA;Healthcare;France;0.608;EUR;34.9;2024;0.8;-5.8;-693.45;5050100.88;-11369.81;N/A;-32.8;-15.97;⚠️ Déclin
ALTHE.PA;Theraclion SA;Healthcare;France;0.608;EUR;34.9;2023;1.8;-3.7;-201.68;-65.08;0.35;N/A;-32.8;-15.97;⚠️ Déclin
ALTHE.PA;Theraclion SA;Healthcare;France;0.608;EUR;34.9;2022;1.2;-5.0;-401.83;-911.12;4.61;N/A;-32.8;-15.97;⚠️ Déclin
ALTHE.PA;Theraclion SA;Healthcare;France;0.608;EUR;34.9;2021;1.5;-3.8;-253.92;295.47;-2.31;N/A;-32.8;-15.97;⚠️ Déclin
BEN.PA;Bénéteau S.A.;Consumer Cyclical;France;8.26;EUR;662.5;2024;1034.4;92.9;8.98;10.48;0.46;N/A;-17.31;-9.97;⚠️ Déclin
BEN.PA;Bénéteau S.A.;Consumer Cyclical;France;8.26;EUR;662.5;2023;1465.1;185.0;12.63;21.61;0.65;N/A;-17.31;-9.97;⚠️ Déclin
BEN.PA;Bénéteau S.A.;Consumer Cyclical;France;8.26;EUR;662.5;2022;1250.9;103.1;8.24;14.6;0.58;N/A;-17.31;-9.97;⚠️ Déclin
BEN.PA;Bénéteau S.A.;Consumer Cyclical;France;8.26;EUR;662.5;2021;1227.2;73.4;5.98;11.66;0.38;N/A;-17.31;-9.97;⚠️ Déclin
IDIP.PA;IDI;Financial Services;France;68.2;EUR;486.5;2024;46.9;19.6;41.78;2.81;0.08;17.007479;-49.51;-75.64;⚠️ Déclin
IDIP.PA;IDI;Financial Services;France;68.2;EUR;486.5;2023;94.7;70.8;74.77;9.67;0.13;17.007479;-49.51;-75.64;⚠️ Déclin
IDIP.PA;IDI;Financial Services;France;68.2;EUR;486.5;2022;92.8;80.4;86.57;11.95;0.15;17.007479;-49.51;-75.64;⚠️ Déclin
IDIP.PA;IDI;Financial Services;France;68.2;EUR;486.5;2021;145.9;126.2;86.51;20.61;0.14;17.007479;-49.51;-75.64;⚠️ Déclin
IPH.PA;Innate Pharma S.A.;Healthcare;France;1.61;EUR;148.4;2024;12.6;-49.5;-391.97;-560.01;3.51;N/A;-74.54;14.86;⚠️ Déclin
IPH.PA;Innate Pharma S.A.;Healthcare;France;1.61;EUR;148.4;2023;51.9;-7.6;-14.59;-14.59;0.77;N/A;-74.54;14.86;⚠️ Déclin
